연번,시군명,관광지명,관광지 주소,관광지 연락처
1,천안시,독립기념관,충남 천안시 동남구 목천읍 독립기념관로 1,041-560-0114
2,천안시,천안삼거리공원,충남 천안시 동남구 삼룡동 298-2,041-521-6342
3,천안시,유관순열사사적지,충남 천안시 동남구 병천면 유관순길 38,041-564-1223
4,천안시,태조산,충남 천안시 동남구 태조산길 261,041-529-5117
5,천안시,각원사,충남 천안시 동남구 각원사길 245,041-561-3545
6,천안시,봉선홍경사갈기비,충남 천안시 서북구 성환읍 대홍3길 77-48,
7,천안시,홍대용과학관,충남 천안시 동남구 수신면 장산서길 113,041-564-0113
8,천안시,광덕산,충청남도 천안시 동남구 광덕사길 26,041-567-0050
9,천안시,성성호수공원,충남 천안시 서북구 성성2길 66,
10,천안시,아라리오조각공원,충청남도 천안시 동남구 만남로 43,
11,공주시,공산성,충남 공주시 웅진로 280,041-856-7700
12,공주시,무령왕릉과 공주박물관,충남 공주시 왕릉로 35,041-856-3151
13,공주시,마곡사,충남 공주시 사곡면 마곡사로 966,041-841-6220
14,공주시,계룡산과 동학사,충남 공주시 반포면 동학사1로 327-6,042-825-3002
15,공주시,고마나루,충남 공주시 백제큰길 2045,041-856-7700
16,공주시,갑사,충남 공주시 계룡면 갑사로 567-3,041-857-8981
17,공주시,석장리박물관,충남 공주시 금벽로 990,041-840-8924
18,공주시,금학생태공원,충남 공주시 수원지공원길 74,041-840-2336
19,공주시,메타쉐콰이어길,충남 공주시 의당면 청룡리 918,041-856-7700
20,공주시,연미산 자연미술공원,충남 공주시 우성명 연마산고개길 98,041-853-8828
21,공주시,유구색동수국정원,충남 공주시 유구읍 창말길 44,041-840-2703
22,보령시,대천해수욕장,충남 보령시 해수욕장10길 5,041-930-0883
23,보령시,죽도(상화원),충남 보령시 남포면 남포방조제로 408-52,041-933-4750
24,보령시,성주산 자연휴양림,충남 보령시 성주면 화장골길 57-228,041-934-7133
25,보령시,개화예술공원,충남 보령시 성주면 개화리 183-1,041-931-6789
26,보령시,무창포해수욕장,충남 보령시 웅천읍 열린바다1길 10,041-936-3561
27,보령시,외연도,충남 보령시 오천면 외연도리,041-930-0803
28,보령시,충청수영성,충남 보령시 오천면 소성리 661-1,041-930-6582
29,보령시,냉풍욕장,충남 보령시 청라면 냉풍욕장길 190,041-930-7651
30,보령시,보령호,충남 보령시 미산면 판미로 867-27,041-934-8899
31,보령시,오서산 자연휴양림,충남 보령시 청라면 오서산길 531,041-936-5465
32,아산시,온양온천,3대온천 온천표시 정도만,
33,아산시,외암민속마을,충남 아산시 송악면 외암민속길9번길 13-2,041-540-2654
34,아산시,현충사,충남 아산시 염치읍 현충사길 126,041-539-4600
35,아산시,신정호수공원,충남 아산시 신정로 616,041-540-2518
36,아산시,곡교천 은행나무길,충남 아산시 염치읍 은행나무길 293,
37,아산시,영인산자연휴양림,충남 아산시 영인면 아산온천로 16-26,041-538-1958
38,아산시,온양민속박물관,충남 아산시 충무로 123,041-542-6001
39,아산시,공세리성당,충남 아산시 인주면 공세리성당길 10,041-533-8181
40,아산시,환경과학공원,충남 아산시 실옥로 220,041-538-1980
41,아산시,세계꽃식물원,충남 아산시 도고면 아산만로 37-37,041-544-0746
42,아산시,지중해마을,충남 아산시 탕정면로8번길 55-7,
