관광지명,관광지구분,소재지도로명주소,소재지지번주소,공공편익시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관명
홍주의사총,관광지,충청남도 홍성군 홍성읍 의사로 79,,문화관광해설사 배치+화장실+주차장,2001-08-17,200,80,홍주의사총 : 1973년 12월 24일 충청남도기념물로 지정,041-633-8733,충청남도 홍성군청,2024-06-28,충청남도 홍성군
결성동헌,관광지,충청남도 홍성군 흥남서로 738번길,,문화관광해설사 배치+화장실+주차장,1989-04-20,20,20,결성동헌 : 조선시대 관아 1989년 4월 20일 충남문화재 지정,041-634-8712,충청남도 홍성군청,2024-06-28,충청남도 홍성군
구드래관광지,관광지,충청남도 부여군 부여읍 백강로 148,충청남도 부여군 부여읍 구교리 17-4,광장+선착장+조각공원,1969-01-21,45000,300,백마강과 함께 가족단위 공원 심터 및 생활체육을 즐길수 있는 웰빙관광지,041-830-2222,충청남도 부여군청,2023-07-19,충청남도 부여군
서동요역사관광지,관광지,충청남도 부여군 충화면 충신로 618,충청남도 부여군 충화면 가화리 313,관리사무소+주차장+화장실,2008-11-20,400,150,역사문화환경을 구축하여 부여 대표 관광명소,041-830-2222,충청남도 부여군청,2023-07-19,충청남도 부여군
백야 김좌진 장군 생가,관광지,충청남도 홍성군 갈산면 백야로 546번길 12,,문화관광해설사 배치+화장실+주차장,1989-12-29,200,60,백야 김좌진 장군 생가 : 일제강점기 독립운동가 김좌진 의 생가터. 충청남도 기념물 제76호,041-634-6952,충청남도 홍성군청,2024-06-28,충청남도 홍성군
한용운선생생가지,관광지,충청남도 홍성군 결성면 만해로 318번길 83,,문화관광해설사 배치+화장실+주차장,1989-12-29,100,50,한용운선생생가지 : 1989년 12월 29일 충청남도 기념물 제75호 지정,041-642-6716,충청남도 홍성군청,2024-06-28,충청남도 홍성군
성삼문 선생 유허지,관광지,충청남도 홍성군 홍북읍 매죽헌길 403-12,,문화관광해설사 배치+화장실+주차장,1973-12-24,10,0,성삼문 선생 유허지) : 국가유산,041-630-1221,충청남도 홍성군청,2024-06-28,충청남도 홍성군
홍주성 역사관,관광지,충청남도 홍성군 홍성읍 아문길 20,,문화관광해설사 배치+화장실+주차장+체험실,2011-07-01,100,0,"홍주성 역사관 : 홍성 역사 연구, 발굴, 조사, 전시, 교육 기관",041-630-9240,충청남도 홍성군청,2024-06-28,충청남도 홍성군
충남보훈관,관광지,충청남도 홍성군 홍성읍 상하천로,,문화관광해설사 배치+화장실+주차장+체험실,2014-02-01,50,2,충남보훈관 : 호국보훈을 기리는 전시장,041-635-1090,충청남도 홍성군청,2024-06-28,충청남도 홍성군
대천해수욕장,관광지,충청남도 보령시 머드로 123,충청남도 보령시 신흑동 2267-3,화장실+샤워장+급수대+관광안내소+주차장+야영장,2021-07-06,96200,3209,대천해수욕장은 젊음과 낭만+안락함과 자연미가 함께 어우러져 있는 곳이다. 젊은 연인들에게는 추억 만들기의 장소로서 또 가족 단위의 휴식처로서 해양스포츠의 메카로서 제반 요건을 충분히 갖추고 있다.,041-930-6810,충청남도 보령시청 해수욕장경영과,2023-11-30,충청남도 보령시
무창포해수욕장,관광지,충청남도 보령시 웅천읍 열린바다1길 10,충청남도 보령시 웅천읍 관당리 799-1,화장실+샤워장+급수대+관광안내소+주차장+야영장,2021-07-06,16300,647,1928년 서해안에서 최초로 개장된 해수욕장으로 백사장 길이 1.5km 수심 1 ~ 2m+백사장 50m+수온 섭씨 22도+경사도 4도의 해수욕장으로 주변에는 송림이 울창하여 해수욕과 산림욕을 함께 즐길 수가 있다.,041-930-6802,충청남도 보령시청 해수욕장경영과,2023-11-30,충청남도 보령시
천안종합휴양관광지,관광지,충청남도 천안시 동남구 성남면 종합휴양지로 200,,주차장,1996-07-02,5000,500,"중부권 최대의 온천관광지로 워터파크, 휴양콘도, 천안예술의 전당이 있음.",041-906-7000,소노벨 천안,2024-06-11,충청남도 천안시
태조산관광지,관광지,충청남도 천안시 동남구 태조산길 261,,주차장,1985-07-24,10000,300,유량동 태조산 아래에 자리잡힌 넓은 공원으로 천안시민들의 문화ㆍ휴식 공간,041-550-2520,천안시시설관리공단,2024-06-11,충청남도 천안시
남당,관광지,,충청남도 홍성군 서부면 남당리 859-2,관광안내소+화장실+주차장,2007-09-20,10000,408,대하 우럭 새조개 꽃게 등 사시사철 싱싱한 수산물을 맛볼수 있으며 잔잔한 은빛 수면으로 석양이 아름다움을 느낄 수 있음(2023.07.27.기준 미운영중),041-630-1300,충청남도 홍성군청,2024-06-28,충청남도 홍성군
태고사,관광지,충청남도 금산군 진산면 청림동로 440,충청남도 금산군 진산면 행정리 512-1,관리사무소+화장실(2동),1984-05-17,150,30,대둔산 최고봉 마천대 다음 제2봉우리 낙조대 아래 동북쪽에 자리 잡고 있는 금산의 고찰이다.,041-750-2273,충청남도 금산군청,2024-07-09,충청남도 금산군
개삼터,관광지,충청남도 금산군 남이면 개삼로 101,충청남도 금산군 남이면 성곡리 826,화장실(1동)+주차장,2018-02-20,500,37,신비의 영약 인삼의 시배지,041-750-2257,충청남도 금산군청,2024-07-09,충청남도 금산군
마곡사관광지,관광지,,충청남도 공주시 사곡면 운암리 731-2,화장실+주차장,1994-03-30,5000,100,천년고찰 마곡사 관광지,1899-0088,공주시,2022-11-23,충청남도 공주시
공주문화관광지,관광지,,충청남도 공주시 웅진동 431,화장실+주차장+관리사무소+관광안내소,2007-09-27,5000,100,백제역사 유적관광지,1899-0088,공주시,2022-11-23,충청남도 공주시
삽교호관광지,관광지,충청남도 당진시 신평면 삽교천3길 100,,공중화장실+테마과학관+근린공원,1983-10-10,500000,728,"서해대교를 비롯, 호수와 바다가 한눈에 들어오는 곳",041-350-3601,충청남도 당진시청,2022-12-01,충청남도 당진시
왜목마을관광지,관광지,충청남도 당진시 석문면 왜목길 15-5,,공중화장실+공연장+전망대,2002-02-26,300000,150,"서해 최고의 일출, 일몰 감상지",041-350-3601,충청남도 당진시청,2022-12-01,충청남도 당진시
난지섬관광지,관광지,충청남도 당진시 석문면 난지1길 67,,공중화장실+공연장+전망대,2007-02-28,100000,150,바다가 맑고 한적한 섬 해수욕장,041-350-3601,충청남도 당진시청,2022-12-01,충청남도 당진시
예당관광지,관광지,충청남도 예산군 응봉면 예당관광로 161,,관리사무소+화장실(6동)+주차장,1986-05-02,20000,185,"예당호를 배경으로 예당호 출렁다리, 예당호 조각공원, 느린호수길, 캠핑장, 야영장이 조성되어 있어 가족단위 휴양객이 즐길수 있는 관광지",041-339-8282,충청남도 예산군청,2023-05-22,충청남도 예산군
